segment_id,emotion,KEM_neutral,KEM_angry,KEM_happy,KEM_surprise,KEM_sad,KEM_fear,KEM_disgust
000-001,happy,0.3126,0.0035,0.6011,0.0182,0.05,0.013,0.0016
000-002,happy,0.9116,0.0045,0.0147,0.0025,0.0622,0.0013,0.0031
000-003,happy,0.8231,0.0061,0.0122,0.0388,0.0302,0.0746,0.015
000-004,happy,0.9102,0.0235,0.028,0.0162,0.0142,0.0025,0.0054
000-005,happy,0.4373,0.0056,0.4612,0.0098,0.0785,0.0057,0.0019
000-006,happy,0.8733,0.0132,0.0068,0.0068,0.0713,0.0017,0.027
000-007,happy,0.7776,0.1162,0.0243,0.0052,0.0059,0.0033,0.0676
000-008,happy,0.7345,0.0043,0.1857,0.0086,0.0587,0.0038,0.0044
000-009,happy,0.4799,0.0017,0.2477,0.0032,0.2597,0.0048,0.0031
000-010,happy,0.6945,0.0256,0.0499,0.0024,0.2195,0.0013,0.0069
000-012,happy,0.6154,0.0337,0.1979,0.0447,0.0672,0.0043,0.0367
000-014,happy,0.1404,0.2167,0.0164,0.0065,0.0058,0.0241,0.5901
000-015,happy,0.2827,0.3552,0.0008,0.0146,0.0012,0.002,0.3434
000-017,happy,0.954,0.0085,0.002,0.0039,0.029,0.001,0.0016
000-021,happy,0.3171,0.0027,0.3603,0.0052,0.3035,0.0083,0.0028
000-037,happy,0.1325,0.0076,0.8309,0.0098,0.0158,0.0021,0.0014
000-038,happy,0.2555,0.0065,0.0048,0.0009,0.7303,0.0005,0.0014
000-045,happy,0.1798,0.0059,0.7238,0.0102,0.0684,0.0076,0.0042
000-047,happy,0.7511,0.0024,0.1742,0.0032,0.0623,0.0015,0.0053
000-048,happy,0.154,0.0041,0.0735,0.0048,0.7591,0.0029,0.0016
000-051,surprise,0.1963,0.0091,0.7518,0.0207,0.0146,0.0031,0.0044
000-052,surprise,0.5221,0.0126,0.159,0.041,0.2555,0.008,0.0018
000-053,surprise,0.7843,0.0129,0.0341,0.1155,0.0445,0.0061,0.0026
000-055,surprise,0.659,0.0194,0.0064,0.2729,0.0172,0.0025,0.0227
000-056,surprise,0.7961,0.0029,0.0772,0.0099,0.1029,0.008,0.0029
000-061,surprise,0.1266,0.019,0.0017,0.0062,0.0217,0.0016,0.8232
000-062,surprise,0.7322,0.2261,0.0004,0.0059,0.0153,0.0036,0.0165
000-063,surprise,0.9582,0.0011,0.0066,0.002,0.0234,0.0013,0.0074
000-066,surprise,0.9319,0.0084,0.0015,0.0043,0.0488,0.0007,0.0045
000-070,surprise,0.0406,0.0069,0.0043,0.0031,0.944,0.0007,0.0004
000-072,surprise,0.8788,0.0153,0.0117,0.0695,0.0053,0.0078,0.0115
000-076,surprise,0.1463,0.0081,0.0003,0.0043,0.8233,0.0163,0.0014
000-083,surprise,0.1659,0.0389,0.001,0.57,0.0021,0.216,0.0062
